Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
Baldur's Gate 3,"Adventure, RPG, Strategy","RPG, Choices Matter, Story Rich, Character Customization, Turn-Based Combat, Dungeons & Dragons, Adventure, CRPG, Fantasy, Online Co-Op, Multiplayer, Romance, Strategy, Singleplayer, Co-op Campaign, Class-Based, Dark Fantasy, Combat, Controller, Stealth",True,True,Baldur's Gate,"3 Aug, 2023",Larian Studios,Larian Studios,"English, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Turkish, Portuguese - Brazil, Italian, Spanish - Latin America, Traditional Chinese, Ukrainian, Korean, Japanese","(491,707)","(508,265)","(16,558)","990.000,00₫",-10%
Counter-Strike 2,"Action, Free to Play","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",True,True,,"21 Aug, 2012",Valve,Valve,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese","(6,840,193)","(7,802,330)","(962,137)",Free,
Lethal Company,"Action, Adventure, Indie, Early Access","Online Co-Op, Horror, First-Person, Psychological Horror, Co-op, Exploration, Survival Horror, PvE, Sci-fi, Procedural Generation, Atmospheric, Time Management, Aliens, Dungeon Crawler, Action, Adventure, Action-Adventure, Perma Death, Realistic, Early Access",False,True,,"23 Oct, 2023",Zeekerss,Zeekerss,English,"(200,445)","(204,086)","(3,641)","142.000,00₫",
Cyberpunk 2077,RPG,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, Futuristic, FPS, Mature, Story Rich, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim",True,True,,"9 Dec, 2020",CD PROJEKT RED,CD PROJEKT RED,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Turkish, Ukrainian","(561,816)","(695,253)","(133,437)","990.000,00₫",-50%
ELDEN RING,"Action, RPG","Souls-like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, PvP, Atmospheric, Violent, Great Soundtrack, 3D, Character Customization, Family Friendly",False,True,Bandai Namco Entertainment,"24 Feb, 2022",FromSoftware Inc.,FromSoftware Inc.,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese","(684,531)","(741,142)","(56,611)","898.000,00₫",-40%
Dota 2,"Action, Strategy, Free to Play","Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, Tower Defense, RPG, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",True,False,Dota,"9 Jul, 2013",Valve,Valve,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese","(1,756,309)","(2,139,411)","(383,102)",Free,
Red Dead Redemption 2,"Action, Adventure","Open World, Story Rich, Western, Adventure, Multiplayer, Action, Realistic, Singleplayer, Shooter, Atmospheric, Horses, Beautiful, Third-Person Shooter, Mature, Great Soundtrack, Third Person, Gore, Sandbox, First-Person, FPS",False,True,Red Dead Redemption,"5 Dec, 2019",Rockstar Games,Rockstar Games,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","(460,828)","(505,935)","(45,107)","1.000.000,00₫",-67%
,,,,,,,,,,,,,"495.000,00₫",-15%
Remnant II,"Action, Adventure, RPG","Souls-like, Action, Adventure, RPG, Co-op, Third-Person Shooter, Dark, Shooter, Action-Adventure, Post-apocalyptic, Combat, Third Person, Multiplayer, Horror, Online Co-Op, Atmospheric, PvE, Controller, Singleplayer, Gore",True,True,,"25 Jul, 2023",Gunfire Games,Gearbox Publishing,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese","(36,863)","(43,504)","(6,641)","830.000,00₫",-40%
It Takes Two,"Action, Adventure","Co-op, Multiplayer, Split Screen, Local Co-Op, Puzzle, Online Co-Op, Adventure, Story Rich, Local Multiplayer, Co-op Campaign, Puzzle Platformer, 3D Platformer, Action-Adventure, Platformer, Emotional, Action, Exploration, Atmospheric, Minigames, Female Protagonist",False,False,EA Originals,"25 Mar, 2021",Hazelight,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","(138,567)","(145,456)","(6,889)","790.000,00₫",-75%
